arrivaldatetime,duetime,departuredatetime,departureduetime,scheduledarrivaldatetime,scheduleddeparturedatetime,destination,destinationlocalized,origin,originlocalized,direction,operator,operatortype,additionalinformation,lowfloorstatus,route,sourcetimestamp,monitored,stopid
18/02/2020 21:35:01,11,18/02/2020 21:35:01,11,18/02/2020 21:35:00,18/02/2020 21:35:00,LUAS Broombridge,LUAS Broombridge,LUAS Bride's Glen,LUAS Gleann Bhríde,Inbound,LUAS,3,,no,Green,18/02/2020 21:16:46,true,luas61
18/02/2020 21:40:00,16,18/02/2020 21:40:00,16,18/02/2020 21:40:00,18/02/2020 21:40:00,LUAS Broombridge,LUAS Broombridge,LUAS Sandyford,LUAS Áth an Ghainimh ,Inbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas61
18/02/2020 21:26:18,2,18/02/2020 21:26:18,2,18/02/2020 21:26:00,18/02/2020 21:26:00,LUAS Sandyford,LUAS Áth an Ghainimh ,LUAS Parnell,LUAS Parnell,Outbound,LUAS,3,,no,Green,18/02/2020 21:08:32,true,luas62
18/02/2020 21:36:40,12,18/02/2020 21:36:40,12,18/02/2020 21:36:00,18/02/2020 21:36:00,LUAS Bride's Glen,LUAS Gleann Bhríde,LUAS Broombridge,LUAS Broombridge,Outbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas62
18/02/2020 21:38:18,14,18/02/2020 21:38:18,14,18/02/2020 21:38:00,18/02/2020 21:38:00,LUAS Sandyford,LUAS Áth an Ghainimh ,LUAS Parnell,LUAS Parnell,Outbound,LUAS,3,,no,Green,18/02/2020 21:20:05,true,luas62
18/02/2020 21:25:43,1,18/02/2020 21:25:43,1,18/02/2020 21:25:00,18/02/2020 21:25:00,LUAS Parnell,LUAS Parnell,LUAS Bride's Glen,LUAS Gleann Bhríde,Inbound,LUAS,3,,no,Green,18/02/2020 21:16:46,true,luas63
18/02/2020 21:30:53,6,18/02/2020 21:30:53,6,18/02/2020 21:30:00,18/02/2020 21:30:00,LUAS Broombridge,LUAS Broombridge,LUAS Sandyford,LUAS Áth an Ghainimh ,Inbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas63
18/02/2020 21:37:03,13,18/02/2020 21:37:03,13,18/02/2020 21:37:00,18/02/2020 21:37:00,LUAS Broombridge,LUAS Broombridge,LUAS Bride's Glen,LUAS Gleann Bhríde,Inbound,LUAS,3,,no,Green,18/02/2020 21:18:25,true,luas63
18/02/2020 21:42:26,18,18/02/2020 21:42:26,18,18/02/2020 21:42:00,18/02/2020 21:42:00,LUAS Broombridge,LUAS Broombridge,LUAS Sandyford,LUAS Áth an Ghainimh ,Inbound,LUAS,3,,no,Green,18/02/2020 21:23:22,true,luas63
18/02/2020 21:27:55,3,18/02/2020 21:27:55,3,18/02/2020 21:27:00,18/02/2020 21:27:00,LUAS Parnell,LUAS Parnell,LUAS Bride's Glen,LUAS Gleann Bhríde,Inbound,LUAS,3,,no,Green,18/02/2020 21:15:07,true,luas64
18/02/2020 21:33:17,9,18/02/2020 21:33:17,9,18/02/2020 21:33:00,18/02/2020 21:33:00,LUAS Broombridge,LUAS Broombridge,LUAS Sandyford,LUAS Áth an Ghainimh ,Inbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas64
18/02/2020 21:39:30,15,18/02/2020 21:39:30,15,18/02/2020 21:40:00,18/02/2020 21:40:00,LUAS Broombridge,LUAS Broombridge,LUAS Bride's Glen,LUAS Gleann Bhríde,Inbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas64
18/02/2020 21:33:45,9,18/02/2020 21:33:45,9,18/02/2020 21:33:00,18/02/2020 21:33:00,LUAS Bride's Glen,LUAS Gleann Bhríde,LUAS Broombridge,LUAS Broombridge,Outbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas65
18/02/2020 21:35:23,11,18/02/2020 21:35:23,11,18/02/2020 21:35:00,18/02/2020 21:35:00,LUAS Sandyford,LUAS Áth an Ghainimh ,LUAS Parnell,LUAS Parnell,Outbound,LUAS,3,,no,Green,18/02/2020 21:16:46,true,luas65
18/02/2020 21:25:49,1,18/02/2020 21:25:49,1,18/02/2020 21:25:00,18/02/2020 21:25:00,LUAS Broombridge,LUAS Broombridge,LUAS Sandyford,LUAS Áth an Ghainimh ,Inbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas66
18/02/2020 21:31:26,7,18/02/2020 21:31:26,7,18/02/2020 21:27:00,18/02/2020 21:27:00,LUAS Bride's Glen,LUAS Gleann Bhríde,LUAS Broombridge,LUAS Broombridge,Outbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas66
18/02/2020 21:38:29,14,18/02/2020 21:38:29,14,18/02/2020 21:38:00,18/02/2020 21:38:00,LUAS Broombridge,LUAS Broombridge,LUAS Sandyford,LUAS Áth an Ghainimh ,Inbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas66
18/02/2020 21:42:01,18,18/02/2020 21:42:01,18,18/02/2020 21:42:00,18/02/2020 21:42:00,LUAS Bride's Glen,LUAS Gleann Bhríde,LUAS Broombridge,LUAS Broombridge,Outbound,LUAS,3,,no,Green,18/02/2020 21:23:22,true,luas66
18/02/2020 21:26:37,2,18/02/2020 21:26:37,2,18/02/2020 21:27:00,18/02/2020 21:27:00,LUAS Broombridge,LUAS Broombridge,LUAS Sandyford,LUAS Áth an Ghainimh ,Inbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas67
18/02/2020 21:27:45,3,18/02/2020 21:27:45,3,18/02/2020 21:23:00,18/02/2020 21:23:00,LUAS Bride's Glen,LUAS Gleann Bhríde,LUAS Broombridge,LUAS Broombridge,Outbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas67
18/02/2020 21:38:20,14,18/02/2020 21:38:20,14,18/02/2020 21:38:00,18/02/2020 21:38:00,LUAS Bride's Glen,LUAS Gleann Bhríde,LUAS Broombridge,LUAS Broombridge,Outbound,LUAS,3,,no,Green,18/02/2020 21:20:04,true,luas67
18/02/2020 21:39:36,15,18/02/2020 21:39:36,15,18/02/2020 21:39:00,18/02/2020 21:39:00,LUAS Broombridge,LUAS Broombridge,LUAS Sandyford,LUAS Áth an Ghainimh ,Inbound,LUAS,3,,no,Green,18/02/2020 21:23:22,true,luas67
18/02/2020 21:26:30,2,18/02/2020 21:26:30,2,18/02/2020 21:22:00,18/02/2020 21:22:00,LUAS Bride's Glen,LUAS Gleann Bhríde,LUAS Broombridge,LUAS Broombridge,Outbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas68
18/02/2020 21:27:41,3,18/02/2020 21:27:41,3,18/02/2020 21:28:00,18/02/2020 21:28:00,LUAS Broombridge,LUAS Broombridge,LUAS Sandyford,LUAS Áth an Ghainimh ,Inbound,LUAS,3,,no,Green,18/02/2020 21:21:43,true,luas68
18/02/2020 21:37:05,13,18/02/2020 21:37:05,13,18/02/2020 21:37:00,18/02/2020 21:37:00,LUAS Bride's Glen,LUAS Gleann Bhríde,LUAS Broombridge,LUAS Broombridge,Outbound,LUAS,3,,no,Green,18/02/2020 21:18:25,true,luas68
