arrivaldatetime,duetime,departuredatetime,departureduetime,scheduledarrivaldatetime,scheduleddeparturedatetime,destination,destinationlocalized,origin,originlocalized,direction,operator,operatortype,additionalinformation,lowfloorstatus,route,sourcetimestamp,monitored,stopid
18/02/2020 20:00:00,3,18/02/2020 20:00:00,3,18/02/2020 19:56:00,18/02/2020 19:56:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:49:08,true,7
18/02/2020 20:01:29,5,18/02/2020 20:01:29,5,18/02/2020 20:01:00,18/02/2020 20:01:00,Tyrrelstown,Baile an Tirialaigh,Parnell Street,Parnell Street,Outbound,bac,1,,no,40D,18/02/2020 19:02:56,true,7
18/02/2020 20:09:43,13,18/02/2020 20:09:43,13,18/02/2020 20:08:00,18/02/2020 20:08:00,IKEA,IKEA,Palmerston Park,Palmerston Park,Inbound,bac,1,,no,140,18/02/2020 19:50:48,true,7
18/02/2020 20:11:44,15,18/02/2020 20:11:44,15,18/02/2020 20:03:00,18/02/2020 20:03:00,Charlestown,Baile Shéarlais,Fonthill Rd,Fonthill Rd,Inbound,bac,1,,no,40,18/02/2020 19:45:50,true,7
18/02/2020 20:13:32,17,18/02/2020 20:13:32,17,18/02/2020 20:16:00,18/02/2020 20:16:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:55:45,true,7
18/02/2020 20:22:04,25,18/02/2020 20:22:04,25,18/02/2020 20:18:00,18/02/2020 20:18:00,Charlestown,Baile Shéarlais,Fonthill Rd,Fonthill Rd,Inbound,bac,1,,no,40,18/02/2020 19:55:45,true,7
18/02/2020 20:27:01,30,18/02/2020 20:27:01,30,18/02/2020 20:27:00,18/02/2020 20:27:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:50:48,true,7
18/02/2020 20:27:42,31,18/02/2020 20:27:42,31,18/02/2020 20:28:00,18/02/2020 20:28:00,IKEA,IKEA,Palmerston Park,Palmerston Park,Inbound,bac,1,,no,140,18/02/2020 19:29:20,true,7
18/02/2020 20:31:29,35,18/02/2020 20:31:29,35,18/02/2020 20:31:00,18/02/2020 20:31:00,Tyrrelstown,Baile an Tirialaigh,Parnell Street,Parnell Street,Outbound,bac,1,,no,40D,18/02/2020 19:32:38,true,7
18/02/2020 20:36:08,39,18/02/2020 20:36:08,39,18/02/2020 20:33:00,18/02/2020 20:33:00,Charlestown,Baile Shéarlais,Fonthill Rd,Fonthill Rd,Inbound,bac,1,,no,40,18/02/2020 19:49:08,true,7
18/02/2020 20:47:42,51,18/02/2020 20:47:42,51,18/02/2020 20:48:00,18/02/2020 20:48:00,IKEA,IKEA,Palmerston Park,Palmerston Park,Inbound,bac,1,,no,140,18/02/2020 19:49:08,true,7
18/02/2020 20:47:53,51,18/02/2020 20:47:53,51,18/02/2020 20:48:00,18/02/2020 20:48:00,Charlestown,Baile Shéarlais,Fonthill Rd,Fonthill Rd,Inbound,bac,1,,no,40,18/02/2020 19:49:08,true,7
18/02/2020 20:53:18,56,18/02/2020 20:53:18,56,18/02/2020 20:53:00,18/02/2020 20:53:00,Harristown,Baile Anraí,Grange Castle,Caisleán na Gráinsí,Inbound,bac,1,,no,13,18/02/2020 19:54:05,true,7
,,,,,,,,,,,,,,,,,,
18/02/2020 19:57:00,Due,18/02/2020 19:57:00,Due,18/02/2020 19:52:00,18/02/2020 19:52:00,Dublin Airport,Aerfort,Brehon Field Rd,Brehon Field Rd,Inbound,bac,1,,no,16,18/02/2020 19:55:45,true,8
